season_id,draft_id,timestamp
Season-4,20240922,2024-09-22
Season-4,20241020,2024-10-20
Season-4,20241124,2024-11-24
Season-4,20241208,2024-12-08
Season-4,20241228,2024-12-28
Season-4,20250112,2025-01-12
Season-4,20250209,2025-02-09
Season-4,20250323,2025-03-23
Season-4,20250406,2025-04-06
Season-4,20250518,2025-05-18
Season-4,20250609,2025-06-09
Season-4,20250712,2025-07-12
Season-5,20250817,2025-08-17
Season-5,20250921,2025-09-21
Season-5,20251026,2025-10-26
Season-5,20251108,2025-11-08
Season-5,20251221,2025-12-21
Season-5,20251228,2025-12-28
Season-5,20260125,2026-01-25
Season-5,20260222,2026-02-22
Season-5,20260301,2026-03-01
Season-5,20260426,2026-04-26
Season-5,20260517,2026-05-17
Season-5,20260621,2026-06-21
Season-6,20260712,2026-07-12
