season_id,scryfallId,card_name,archetype,games_played,games_won,game_winrate
Season-4,0ce44270-a684-4489-9077-521456e6dfaa,Lórien Revealed,Control,17,6,0.3529411764705882
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Tundra,Aggro-Control (Tempo),9,5,0.5555555555555556
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Tundra,Combo,9,3,0.3333333333333333
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Tundra,Combo-Control,11,8,0.7272727272727273
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Tundra,Control,36,20,0.5555555555555556
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Aggro,60,34,0.5666666666666667
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Combo,10,6,0.6
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Combo-Control,11,8,0.7272727272727273
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Control,32,17,0.53125
Season-4,0d60eabe-b281-4eba-9c26-287364ed2067,Earthshaker Khenra,Aggro,17,8,0.4705882352941176
Season-4,0d60eabe-b281-4eba-9c26-287364ed2067,Earthshaker Khenra,Control,10,3,0.3
Season-4,0d60eabe-b281-4eba-9c26-287364ed2067,Earthshaker Khenra,Control-Aggro (Midrange),10,5,0.5
Season-4,0da69523-cece-425a-b08a-fb27fac29374,Figure of Destiny,Aggro,37,20,0.5405405405405406
Season-4,0da69523-cece-425a-b08a-fb27fac29374,Figure of Destiny,Control,9,5,0.5555555555555556
Season-4,0da69523-cece-425a-b08a-fb27fac29374,Figure of Destiny,Control-Aggro (Midrange),10,5,0.5
Season-4,0e0d989d-7186-40dc-bdfe-cfbb77656bc8,"Emrakul, the Aeons Torn",Aggro-Combo,10,6,0.6
Season-4,0e0d989d-7186-40dc-bdfe-cfbb77656bc8,"Emrakul, the Aeons Torn",Combo,46,22,0.4782608695652174
Season-4,0e51d796-7279-4c06-87f0-37adbdaa41df,Underworld Breach,Aggro,10,6,0.6
Season-4,0e51d796-7279-4c06-87f0-37adbdaa41df,Underworld Breach,Combo,50,24,0.48
Season-4,0e51d796-7279-4c06-87f0-37adbdaa41df,Underworld Breach,Combo-Control,11,8,0.7272727272727273
Season-4,0e606072-a3aa-4300-ba90-ec92a721fa76,"Jace, the Mind Sculptor",Aggro-Control (Tempo),19,13,0.6842105263157895
Season-4,0e606072-a3aa-4300-ba90-ec92a721fa76,"Jace, the Mind Sculptor",Combo,18,10,0.5555555555555556
Season-4,0e606072-a3aa-4300-ba90-ec92a721fa76,"Jace, the Mind Sculptor",Control,18,4,0.2222222222222222
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Savannah,Aggro,18,11,0.6111111111111112
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Savannah,Aggro-Combo,9,6,0.6666666666666666
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Savannah,Combo,9,3,0.3333333333333333
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Savannah,Control,11,8,0.7272727272727273
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Savannah,Control-Aggro (Midrange),28,14,0.5
Season-4,0ecbe097-ba51-42e5-957c-382eb66c08f0,Robber of the Rich,Aggro,83,49,0.5903614457831325
Season-4,0ecbe097-ba51-42e5-957c-382eb66c08f0,Robber of the Rich,Control,19,7,0.3684210526315789
Season-4,0eee981e-5d26-4810-90e1-432f3c3107f2,Reclamation Sage,Aggro-Combo,12,6,0.5
Season-4,0eee981e-5d26-4810-90e1-432f3c3107f2,Reclamation Sage,Combo-Control,21,11,0.5238095238095238
Season-4,0eee981e-5d26-4810-90e1-432f3c3107f2,Reclamation Sage,Control-Aggro (Midrange),20,8,0.4
Season-4,0f3c8470-1cc8-4383-8782-c022867d46e8,"Tezzeret, Agent of Bolas",Combo,9,3,0.3333333333333333
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Polluted Delta,Aggro,10,6,0.6
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Polluted Delta,Aggro-Control (Tempo),9,5,0.5555555555555556
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Polluted Delta,Combo,31,16,0.5161290322580645
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Polluted Delta,Combo-Control,18,9,0.5
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Polluted Delta,Control,18,6,0.3333333333333333
Season-4,0fb4c734-c698-46f2-bc78-5f036f472e5b,Unholy Annex // Ritual Chamber,Aggro,18,8,0.4444444444444444
Season-4,0fb4c734-c698-46f2-bc78-5f036f472e5b,Unholy Annex // Ritual Chamber,Combo,10,2,0.2
Season-4,0fe070f4-8877-4280-b8fd-869f3ac34ab6,Sheltering Landscape,Aggro,9,6,0.6666666666666666
Season-4,0fe070f4-8877-4280-b8fd-869f3ac34ab6,Sheltering Landscape,Control,8,1,0.125
Season-4,10158a5e-5a03-41ab-85d2-0907ccf32c9b,Dack Fayden,Combo,37,17,0.4594594594594595
Season-4,10158a5e-5a03-41ab-85d2-0907ccf32c9b,Dack Fayden,Combo-Control,20,10,0.5
Season-4,10158a5e-5a03-41ab-85d2-0907ccf32c9b,Dack Fayden,Control,17,8,0.4705882352941176
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,Wooded Foothills,Aggro,37,23,0.6216216216216216
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,Wooded Foothills,Combo,9,6,0.6666666666666666
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,Wooded Foothills,Combo-Control,18,9,0.5
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,Wooded Foothills,Control,17,6,0.3529411764705882
Season-4,106f9629-b3aa-4703-82fb-c1e771bbce72,The Wandering Emperor,Aggro,27,15,0.5555555555555556
Season-4,106f9629-b3aa-4703-82fb-c1e771bbce72,The Wandering Emperor,Control,17,9,0.5294117647058824
