player_id,player
1,Dimlas
2,Lukas Stalder
3,Joel R.
4,Tinu
5,Andrin
6,Sili
7,Sam
8,Manuel
9,Yannik
10,Guy
11,Noe T.
12,Joel K.
13,Tobi
14,Pali
15,Myri
16,Tommy
17,Elie
18,Ivo
19,Valentin
20,Luca
21,Matthias
22,Missing Player
23,Filipe
