season_id,archetype,games_won,games_played,game_win_rate,archetype_win_rate_lift,archetype_win_rate_lift_pct,archetype_win_rate_lift_rel
Season-All,Combo-Control,125,225,0.5555555555555556,0.05481150793650791,5.481150793650791,1.109460128776622
Season-All,Aggro,330,606,0.5445544554455446,0.04381040782649692,4.381040782649692,1.0874906212760949
Season-All,Aggro-Combo,82,157,0.5222929936305732,0.02154894601152557,2.154894601152557,1.0430338535505057
Season-All,Aggro-Control (Tempo),66,131,0.5038167938931297,0.00307274627408205,0.307274627408205,1.0061363610584937
Season-All,Control,311,621,0.500805152979066,6.11053600183542e-05,0.0061105360018354204,1.0001220291290709
Season-All,Combo,310,664,0.466867469879518,-0.03387657773952968,-3.387657773952968,0.9323475178574623
Season-All,Control-Aggro (Midrange),122,284,0.4295774647887324,-0.0711665828303153,-7.11665828303153,0.8578783249272752
