season_id,player,player_id,archetype,games_won,games_played,game_win_rate,matches_won,matches_played,match_win_rate
Season-All,Tommy,16,Aggro,10,15,0.6666666666666666,4,8,0.5
Season-All,Tommy,16,Aggro-Control (Tempo),25,39,0.6410256410256411,11,16,0.6875
Season-All,Tommy,16,Combo,27,51,0.5294117647058824,10,20,0.5
Season-All,Tommy,16,Combo-Control,13,18,0.7222222222222222,5,8,0.625
Season-All,Tommy,16,Control,18,36,0.5,7,16,0.4375
Season-All,Valentin,19,Aggro,19,31,0.6129032258064516,7,12,0.5833333333333334
Season-All,Valentin,19,Combo,12,27,0.4444444444444444,6,12,0.5
Season-All,Valentin,19,Control,12,27,0.4444444444444444,5,12,0.4166666666666667
Season-All,Valentin,19,Control-Aggro (Midrange),7,10,0.7,3,4,0.75
Season-All,Yannik,9,Aggro,5,16,0.3125,2,8,0.25
Season-All,Yannik,9,Aggro-Combo,4,9,0.4444444444444444,1,4,0.25
Season-All,Yannik,9,Aggro-Control (Tempo),4,9,0.4444444444444444,1,4,0.25
Season-All,Yannik,9,Combo,0,8,0.0,0,4,0.0
Season-All,Yannik,9,Control,1,9,0.1111111111111111,0,4,0.0
Season-All,Yannik,9,Control-Aggro (Midrange),6,27,0.2222222222222222,1,12,0.0833333333333333
Season-All,Zoel,24,Combo,7,7,1.0,4,4,1.0
Season-All,Zoel,24,Control,12,19,0.631578947368421,5,8,0.625
