season_id,scryfallId,archetype,count
Season-4,04fc99dc-bfbe-4567-b791-6b1db96471ec,Control,1
Season-4,04fc99dc-bfbe-4567-b791-6b1db96471ec,Control-Aggro (Midrange),1
Season-4,054f2276-2dd5-43da-bb26-c57c560861fe,Combo,6
Season-4,054f2276-2dd5-43da-bb26-c57c560861fe,Combo-Control,2
Season-4,054f2276-2dd5-43da-bb26-c57c560861fe,Control,2
Season-4,059164e1-894d-4586-9800-e60d6fbd6eb6,Aggro-Combo,2
Season-4,059164e1-894d-4586-9800-e60d6fbd6eb6,Combo-Control,2
Season-4,0596155d-8f83-40ca-be31-9a0df1ced65e,Aggro,1
Season-4,0596155d-8f83-40ca-be31-9a0df1ced65e,Control,3
Season-4,05bd329b-5707-42fc-af1c-084cc604e805,Aggro,1
Season-4,05bd329b-5707-42fc-af1c-084cc604e805,Combo-Control,1
Season-4,05bd329b-5707-42fc-af1c-084cc604e805,Control,1
Season-4,05bd329b-5707-42fc-af1c-084cc604e805,Control-Aggro (Midrange),1
Season-4,05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Aggro,1
Season-4,05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Combo,4
Season-4,05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Combo-Control,1
Season-4,05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Control,1
Season-4,05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Control-Aggro (Midrange),2
Season-4,05cf51d8-9f91-42ff-99e9-4397f2251c20,Aggro,1
Season-4,05cf51d8-9f91-42ff-99e9-4397f2251c20,Combo-Control,2
Season-4,05cf51d8-9f91-42ff-99e9-4397f2251c20,Control,5
Season-4,05e8a4ea-8c0d-4284-ac23-80e19fdde11d,Combo,4
Season-4,05e8a4ea-8c0d-4284-ac23-80e19fdde11d,Combo-Control,1
Season-4,05e8a4ea-8c0d-4284-ac23-80e19fdde11d,Control,1
Season-4,0645f487-efe5-4764-b361-85e07bb5ccca,Combo,2
Season-4,064dfdeb-485f-473e-9fa0-8fdb7638cdc6,Aggro,2
Season-4,064dfdeb-485f-473e-9fa0-8fdb7638cdc6,Combo,4
