card_id,card_name,v0_coef,v0_se,v0_z,v0_p,v0_or,v0_or_lower,v0_or_upper,v0_aic,v0_separation,v0_win_rate_lift_prob,v0_win_rate_lift_mean_prob,v1_coef,v1_se,v1_z,v1_p,v1_or,v1_or_lower,v1_or_upper,v1_aic,v1_separation,v1_win_rate_lift_prob,v1_win_rate_lift_mean_prob,v2_coef,v2_se,v2_z,v2_p,v2_or,v2_or_lower,v2_or_upper,v2_aic,v2_separation,v2_win_rate_lift_prob,v2_win_rate_lift_mean_prob,n_games,v0_p_adj,v0_significant_raw,v0_significant_fdr,v1_p_adj,v1_significant_raw,v1_significant_fdr,v2_p_adj,v2_significant_raw,v2_significant_fdr,best_aic,aic_improvement_v0_to_v1,aic_improvement_v1_to_v2,or_range,or_mean,or_cv,confidence,v0_win_rate_lift_pct,v0_win_rate_lift_mean_pct,v0_win_rate_lift_std,v0_win_rate_lift_mean_std,v1_win_rate_lift_pct,v1_win_rate_lift_mean_pct,v1_win_rate_lift_std,v1_win_rate_lift_mean_std,v2_win_rate_lift_pct,v2_win_rate_lift_mean_pct,v2_win_rate_lift_std,v2_win_rate_lift_mean_std
716a44b4-f6b0-4f14-a270-6442aed3251f,"Raffine, Scheming Seer",0.9167321452315504,0.46780524561373754,1.9596448603923686,0.05003731413379605,2.5011037769865188,0.9998338776284743,6.256559457750944,3232.596343315909,False,0.1987273562317802,0.21470288973103874,1.0393139212513443,0.4782675848865035,2.173080413756206,0.02977426556769279,2.827276614392378,1.1072832080909913,7.219014066032113,3228.540844290024,False,0.22083298718135938,0.24714684818836768,0.9653397987805106,0.4827377683937629,1.999718816268578,0.045530635197928236,2.6256797076697156,1.0193587699825508,6.763265427526107,3228.624822803096,False,0.2060982562248148,0.2247946104255375,20,0.4473952242932651,False,False,0.5730620078606988,True,False,0.5487406379072669,True,False,3228.540844290024,4.055499025885183,-0.08397851307199744,0.32617283740585945,2.651353366349537,0.12302126210168055,low,19.87273562317802,21.470288973103873,0.3974547124635604,0.4294057794620775,22.08329871813594,24.71468481883677,0.44166597436271876,0.49429369637673537,20.60982562248148,22.47946104255375,0.4121965124496296,0.449589220851075
6f26faca-f338-4ce5-a218-6a61d40fc50a,Tendrils of Agony,0.7723298450465197,0.33448565509909994,2.309007376766867,0.020943171900900896,2.164804040845717,1.1238249052082014,4.1700237408368706,3230.8440005304356,False,0.17020664060643617,0.1844534585311749,1.0111924858170616,0.3442266140290359,2.9375778763340077,0.003307870811552028,2.748877058215942,1.4000505208900489,5.3971802934526805,3224.241046429369,False,0.21585684733749486,0.24350004090720412,0.9612326499203215,0.34694446598895323,2.7705663129122438,0.00559589043416892,2.614917765828024,1.3247469983732443,5.161585518170384,3224.641924842514,False,0.20555916960798634,0.22650164978883625,41,0.34209895341244634,True,False,0.3467751234110376,True,False,0.4372971686494981,True,False,3224.241046429369,6.6029541010666435,-0.4008784131451648,0.5840730173702249,2.5095329549632273,0.23274172041258706,low,17.020664060643618,18.44534585311749,0.34041328121287234,0.3689069170623498,21.585684733749485,24.35000409072041,0.4317136946749897,0.48700008181440824,20.555916960798633,22.650164978883623,0.4111183392159727,0.4530032995776725
6da09e6a-2965-4855-bd41-41b41ba188fb,Through the Breach,0.7685084706627734,0.2765226850186414,2.7791877928965047,0.005449501046703954,2.156547300234427,1.2542327211245208,3.708001058989014,3228.247286478905,False,0.16966714197277272,0.18383097719019026,0.9402303359532649,0.2837707962689543,3.313344249357241,0.0009218743590604996,2.560571142004278,1.4682035450782598,4.465678206025316,3221.635149683018,False,0.2027086899744139,0.22830890798825992,0.9513904178548106,0.28402322210111725,3.349692362535409,0.0008090135868511333,2.589307376779203,1.4839462175370888,4.5180294354405275,3220.7686657865097,False,0.20398922610674616,0.2253152490883506,63,0.213174366864619,True,False,0.19328632394968476,True,False,0.2496649540807158,True,False,3220.7686657865097,6.6121367958871815,0.8664838965082708,0.43276007654477633,2.4354752730059697,0.17769019515055268,low,16.966714197277273,18.383097719019027,0.33933428394554543,0.3676619543803805,20.27086899744139,22.830890798825994,0.4054173799488278,0.45661781597651985,20.398922610674617,22.53152490883506,0.4079784522134923,0.4506304981767012
4bc61952-88ba-447a-835a-f1e9643fcd0d,Serum Visions,0.7187496913298377,0.539457316489265,1.3323569249322444,0.182742929604634,2.0518661401380247,0.7127770153051833,5.906692509216632,3234.418992727574,False,0.15932203773796588,0.17247588136846348,0.7303041735241493,0.5468065406289352,1.3355805376507672,0.18168641499139293,2.0757118882600056,0.7107484948765002,6.06203161051024,3231.222354846221,False,0.16077264854698306,0.17895789729880923,0.7648304636408225,0.5515484710381408,1.3866967343799106,0.16553425680862532,2.1486300728551213,0.7289103438933215,6.333578921817386,3230.4717460596935,False,0.1670966496308165,0.18241845013245228,18,0.7053963332318496,False,False,0.7621591184964974,False,False,0.716039650640402,False,False,3230.4717460596935,3.1966378813526717,0.750608786527664,0.0967639327170966,2.092069367084384,0.04625273628089675,low,15.932203773796589,17.247588136846346,0.31864407547593177,0.34495176273692696,16.077264854698306,17.895789729880924,0.3215452970939661,0.35791579459761846,16.70966496308165,18.24184501324523,0.334193299261633,0.36483690026490456
efda91fa-03b2-4fb4-ae07-b45f6c6d3eab,Yawgmoth's Will,0.5991294672591367,0.2802836529067291,2.1375826276194245,0.03255063295191456,1.8205332765423665,1.051033018384802,3.1534132163530617,3231.647750442369,False,0.13408384702794277,0.14575156039765563,0.7999035638593694,0.2882340180455544,2.7751879159972974,0.005516982027840759,2.2253263162628625,1.2648643566558062,3.9151053532292672,3225.19695115373,False,0.17483970100744278,0.19605580288977392,0.7430782721229595,0.2923891785325115,2.5414014152385422,0.011040907784644085,2.102397314847561,1.1852994963613002,3.7290781638288313,3225.888698851716,False,0.16259015055465004,0.1796306316652712,59,0.38943089329234026,True,False,0.3470181695511838,True,False,0.5038662217315621,True,False,3225.19695115373,6.450799288639246,-0.6917476979861021,0.40479303972049596,2.0494189692175966,0.19751600126695087,low,13.408384702794276,14.575156039765563,0.26816769405588553,0.29150312079531127,17.48397010074428,19.605580288977393,0.34967940201488557,0.39211160577954784,16.259015055465003,17.96306316652712,0.3251803011093001,0.3592612633305424
777fcc21-2856-4181-8ecd-c272f9769e36,"Wan Shi Tong, All-Knowing",0.5742604922314469,0.3757660970262707,1.5282392338638764,0.12645315095045745,1.7758168108951229,0.8502362236424674,3.708999050108471,3233.8834673877027,False,0.12884212528207376,0.13989589608848207,0.6787429183764696,0.37943626517934115,1.788819310815377,0.07364391991864855,1.9713979657671459,0.9371122924686196,4.147219037318286,3229.762617909431,False,0.15016006212830635,0.16707417646449424,0.7001991519302798,0.3822156433184229,1.8319479178065605,0.06695918049509354,2.0141537901461444,0.9522349209069682,4.260309511119497,3228.9988031063253,False,0.1539230936274505,0.16842865159188308,35,0.5947182186012422,False,False,0.5909243205722987,False,False,0.5769496511152581,False,False,3228.9988031063253,4.1208494782717935,0.7638148031055607,0.23833697925102149,1.9204561889361376,0.12410435636287619,low,12.884212528207376,13.989589608848208,0.2576842505641475,0.27979179217696415,15.016006212830636,16.707417646449425,0.3003201242566127,0.3341483529289885,15.39230936274505,16.842865159188307,0.307846187254901,0.33685730318376617
96b6b2e1-c3e6-464c-8a13-b15deb34e862,Aetherflux Reservoir,0.4933571456214625,0.3043810671510119,1.6208535906627015,0.10504904200445137,1.637805351958375,0.901919737229571,2.9741076286267454,3233.719796756046,False,0.11104755745722486,0.12103410546016657,0.7272331461177995,0.3152862525329893,2.3065805764610907,0.021078213397268883,2.0693470983878446,1.1154658174347745,3.8389319929622916,3227.8542683319774,False,0.15971131210661615,0.17904296210480808,0.6824538450906831,0.31991978290759226,2.133203013856156,0.03290807600615471,1.978727269987099,1.0569750167300698,3.704308566444104,3228.013186560748,False,0.14980506085690312,0.16562259604154295,48,0.5610970688910544,False,False,0.5246658080065727,True,False,0.5307482002018286,True,False,3227.8542683319774,5.865528424068543,-0.15891822877074446,0.4315417464294695,1.895293240111106,0.2276912813787969,low,11.104755745722485,12.103410546016658,0.22209511491444972,0.24206821092033315,15.971131210661616,17.90429621048081,0.3194226242132323,0.35808592420961616,14.980506085690312,16.562259604154296,0.29961012171380624,0.3312451920830859
209c591a-4ab2-4e89-9523-a7b766cf4e51,Ouroboroid,0.5288430559732529,0.37385694701578026,1.4145599277868461,0.1571975649271609,1.6969678756208773,0.8155304160614427,3.5310761121535834,3234.2865831811628,False,0.11892438371857436,0.1293283927502516,0.6123659926018993,0.392466594111844,1.5603009320772636,0.11868878324008263,1.8447910012152848,0.8548164325594649,3.9812686192460944,3230.645367971422,False,0.1360741404695373,0.15124193428164118,0.6374880249355903,0.3917599879343937,1.6272412818287803,0.10368586327037065,1.8917229450340185,0.8777780116594351,4.076902876620051,3229.8276867749,False,0.14072353019770212,0.1540563534275191,34,0.6680896509404338,False,False,0.6665646844465355,False,False,0.6095178317482536,False,False,3229.8276867749,3.641215209740949,0.8176811965217894,0.19475506941314125,1.8111606072900601,0.1075305351878995,low,11.892438371857436,12.93283927502516,0.23784876743714872,0.2586567855005032,13.60741404695373,15.124193428164117,0.2721482809390746,0.30248386856328235,14.072353019770212,15.40563534275191,0.28144706039540424,0.3081127068550382
9b911653-7b96-4cf3-a907-13c5c53a14f7,Overlord of the Balemurk,0.5156853937078488,0.3278431875744057,1.5729635790916392,0.11572725174601352,1.6747859962937077,0.8808329774484354,3.1843813812542106,3233.7269481370704,False,0.11628105255697553,0.12628469297042005,0.5593318984209636,0.33059385140194025,1.6919004877102832,0.09066494899798938,1.7495032638621233,0.9151822526409191,3.3444285675687624,3230.1160764924743,False,0.1250131405915445,0.13859225354693994,0.5799979036947829,0.3319522667620731,1.747232845710605,0.08059695640629788,1.7860346866723174,0.9318079580164964,3.423366236093263,3229.3141088523025,False,0.12883966313534767,0.1410761175524583,48,0.5621159662396955,False,False,0.6038753670098368,False,False,0.5770496035464738,False,False,3229.3141088523025,3.6108716445960454,0.8019676401718243,0.11124869037860963,1.736774648942716,0.06405476406874876,low,11.628105255697553,12.628469297042006,0.23256210511395106,0.2525693859408401,12.501314059154451,13.859225354693994,0.250026281183089,0.2771845070938799,12.883966313534767,14.10761175524583,0.25767932627069534,0.2821522351049166
fd52688a-39fd-430f-b950-cb56e0004396,Talisman of Curiosity,0.48171298963621445,0.3452094502307044,1.3954223713003349,0.16288850903163943,1.6188450933002663,0.8229189759261885,3.1845898718677836,3234.34835987035,False,0.10865826023526237,0.11825470261969395,0.5882329904168057,0.3513490561157043,1.674212525059672,0.0940888387792783,1.8008035652389307,0.9044654619441562,3.5854254441143794,3230.2692837658515,False,0.1309428077142855,0.14547926585738835,0.5561404548263891,0.35358268089238465,1.572872442232696,0.11574835728326188,1.7439287230248428,0.8720734737608473,3.4874210516636874,3230.0134964867407,False,0.12350131112795544,0.13556485866956702,39,0.681458534588101,False,False,0.6038753670098368,False,False,0.6500510422426047,False,False,3230.0134964867407,4.079076104498654,0.25578727911079113,0.18195847193866443,1.7211924605213467,0.10571651695682509,low,10.865826023526237,11.825470261969395,0.21731652047052474,0.2365094052393879,13.094280771428549,14.547926585738836,0.261885615428571,0.2909585317147767,12.350131112795545,13.556485866956702,0.24700262225591088,0.27112971733913405
