season_id,scryfallId,matches_played,matches_won,match_win_rate
Season-4,0c3d7e2c-a104-4757-9984-fb31088f92c4,32.0,12.0,0.375
Season-4,0c9a7cb0-5bff-48ff-b620-2838816ac9b5,36.0,18.0,0.5
Season-4,0cb33b46-4d1b-4f97-bfdc-d815aee111da,44.0,28.0,0.6363636363636364
Season-4,0ce44270-a684-4489-9077-521456e6dfaa,44.0,21.0,0.4772727272727273
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,28.0,15.0,0.5357142857142857
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,44.0,28.0,0.6363636363636364
Season-4,0d60eabe-b281-4eba-9c26-287364ed2067,16.0,6.0,0.375
Season-4,0da69523-cece-425a-b08a-fb27fac29374,24.0,11.0,0.4583333333333333
Season-4,0e0d989d-7186-40dc-bdfe-cfbb77656bc8,24.0,11.0,0.4583333333333333
Season-4,0e51d796-7279-4c06-87f0-37adbdaa41df,28.0,15.0,0.5357142857142857
Season-4,0e606072-a3aa-4300-ba90-ec92a721fa76,24.0,11.0,0.4583333333333333
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,32.0,18.0,0.5625
Season-4,0ecbe097-ba51-42e5-957c-382eb66c08f0,44.0,22.0,0.5
Season-4,0eee981e-5d26-4810-90e1-432f3c3107f2,20.0,8.0,0.4
Season-4,0f3c8470-1cc8-4383-8782-c022867d46e8,4.0,1.0,0.25
Season-4,0f427f0b-034c-4821-8758-e395c0042d8a,0.0,0.0,0.0
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,36.0,16.0,0.4444444444444444
Season-4,0fb4c734-c698-46f2-bc78-5f036f472e5b,12.0,3.0,0.25
Season-4,0fe070f4-8877-4280-b8fd-869f3ac34ab6,8.0,2.0,0.25
Season-4,10158a5e-5a03-41ab-85d2-0907ccf32c9b,32.0,14.0,0.4375
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,36.0,19.0,0.5277777777777778
Season-4,106f9629-b3aa-4703-82fb-c1e771bbce72,24.0,10.0,0.4166666666666667
Season-4,107492bd-b32f-4692-917c-7771986b5bf7,28.0,13.0,0.4642857142857143
Season-4,1132218d-56cd-441e-9006-df3c50344491,40.0,13.0,0.325
Season-4,113f48b9-a972-4e2c-af95-05ab078e01f2,8.0,3.0,0.375
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,28.0,15.0,0.5357142857142857
Season-4,1192f7a9-102e-4b3a-b154-18c8eb332217,0.0,0.0,0.0
Season-4,1290e00b-c41b-4e30-8b65-a7fd4356d462,0.0,0.0,0.0
Season-4,139b90cd-8272-457a-be32-1298145345be,36.0,20.0,0.5555555555555556
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,28.0,12.0,0.42857142857142855
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,48.0,19.0,0.3958333333333333
Season-4,1571b584-9007-45ee-a3c3-6c72f227fee2,40.0,17.0,0.425
Season-4,158c000e-7960-4518-b034-a529622b7bf1,0.0,0.0,0.0
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,24.0,9.0,0.375
Season-4,15db4353-9c46-4fe4-b22e-0cf024aa9dfc,20.0,10.0,0.5
Season-4,15faa763-b897-4e86-b094-73f3236291a9,40.0,19.0,0.475
Season-4,162018eb-5483-4fa2-9c5a-abb639eecf91,20.0,11.0,0.55
Season-4,162e81d3-6cd4-4cb8-8ed8-cfbd8d34ca71,20.0,8.0,0.4
Season-4,1658f12b-8ac5-4d29-86d5-f20c4d5f7e48,8.0,2.0,0.25
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,44.0,27.0,0.6136363636363636
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,32.0,20.0,0.625
Season-4,17260fff-b239-4af4-9306-3236ae3fa5a5,28.0,13.0,0.4642857142857143
Season-4,175b3d28-5c74-4972-9b5c-5e39762c78f4,28.0,9.0,0.32142857142857145
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,36.0,16.0,0.4444444444444444
Season-4,17db2b6a-eaa8-4a08-9e86-370bbd058574,36.0,21.0,0.5833333333333334
Season-4,17f28b16-da65-41a8-ba4f-f1c5e104aad6,36.0,18.0,0.5
Season-4,18092f68-b96e-4084-9eba-b240d2195d81,28.0,12.0,0.42857142857142855
Season-4,187b6719-e5ed-4615-a00b-3313ceca055b,16.0,7.0,0.4375
Season-4,187e887c-c39d-4d25-a506-cdc95fc70316,24.0,10.0,0.4166666666666667
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,40.0,22.0,0.55
Season-4,18adbda4-8d36-47cd-afbc-c785aaa8ed80,20.0,4.0,0.2
Season-4,18bd50f2-c3ba-4217-a2d5-bb771e199706,44.0,17.0,0.38636363636363635
Season-4,18f23daa-bc59-456a-8a28-3823e51bc74b,32.0,17.0,0.53125
Season-4,19316cbb-d1af-4ab7-b588-78637503e986,0.0,0.0,0.0
Season-4,19477aca-b8db-4061-9a78-ebb189a9df22,32.0,16.0,0.5
Season-4,19557351-b65f-4b04-b971-66abdc07000a,24.0,15.0,0.625
Season-4,19adde22-e5eb-4815-beb6-c520b3274cc9,36.0,15.0,0.4166666666666667
Season-4,1a55c370-d396-4c73-8ee2-83dc4c124005,24.0,8.0,0.3333333333333333
Season-4,1a6f256b-943e-4cfb-9fc9-d1ded68b5f97,20.0,9.0,0.45
Season-4,1ac01fff-4de6-4783-9489-4127e25bc641,36.0,15.0,0.4166666666666667
Season-4,1af92296-455a-425e-9397-a96d09937767,28.0,12.0,0.42857142857142855
Season-4,1b2ecf55-c1cc-4b28-b7ce-e1b25305155e,0.0,0.0,0.0
